Period,Exporter,Importer,Qty_asperE,Qty_asperI,PrimaryValue_asperE,PrimaryValue_asperI,Qty_mean
2019,RUS,HRV,1.5522311e9,1.6016e8,7.4195369309e8,7.2488178e7,8.5619555e8
2019,SAU,HRV,0.0,1.706266e8,0.0,8.1273466e7,1.706266e8
2019,TKM,HRV,0.0,8.37546e7,0.0,4.0729246e7,8.37546e7
2019,LBR,DNK,0.0,7.7401e7,0.0,4.3331943797e7,7.7401e7
2019,NLD,DNK,4.00217e6,3.9904e6,2.180300979e6,2.160511662e6,3.996285e6
2019,NGA,DNK,0.0,4.493249e8,1.7939368111e8,2.210382234e8,4.493249e8
2019,NOR,DNK,2.0770651e9,2.0456284e9,1.011757338705e9,1.010435468525e9,2.06134675e9
2019,RUS,DNK,5.523835e8,3.53959e8,2.5861775134e8,1.8123058393e8,4.5317125e8
2019,SAU,DNK,0.0,354.0,0.0,294.477,354.0
2019,GBR,DNK,2.037218e8,1.886324e8,1.01471282648e8,9.1255155269e7,1.961771e8
2019,USA,DNK,1.527217376332e9,1.6482074e9,7.15370736e8,8.13284492207e8,1.587712388166e9
2019,_X ,DNK,0.0,6.11757e7,0.0,2.9471431468e7,6.11757e7
2019,USA,DMA,0.0,27.0,0.0,777.771,27.0
2019,ARE,COM,0.0,13979.0,0.0,10240.92,13979.0
2019,CHN,MMR,1.33024e8,0.0,5.8500539e7,0.0,1.33024e8
2019,CHN,KOR,3.172884e8,104.0,1.48865369e8,372.0,1.58644252e8
2019,CHN,SGP,3.59713e8,2000.0,1.54394106e8,6247.628,1.798575e8
2019,HRV,BIH,6.0,0.0,77.0,0.0,6.0
2019,HRV,HUN,1.4919601e8,0.0,7.2395798e7,0.0,1.4919601e8
2019,HRV,KOR,8.0,8.0,3.0,61.0,8.0
2019,DNK,FIN,1.667866e8,0.0,8.4257410362e7,8.7443205278e7,1.667866e8
2019,DNK,DEU,6.5244e7,0.0,3.3865464458e7,0.0,6.5244e7
2019,DNK,ITA,1.667135e8,0.0,8.2430260291e7,0.0,1.667135e8
2019,DNK,NLD,2.931616e8,3031.0,1.44083152378e8,2274.855,1.465823155e8
2019,DNK,NOR,2743.706,1.32948e8,1499.375,6.7291992157e7,6.6475371853e7
2019,DNK,SWE,1.3880113e9,3.99081e8,7.39573302056e8,1.86266868346e8,8.9354615e8
2019,DNK,GBR,3.3091e7,3.29998e7,1.7333477607e7,1.7739698293e7,3.30454e7
2019,DNK,USA,1.32953e8,1.55851111903e8,6.7012206958e7,7.5100323e7,1.444020559515e8
2019,CAN,GBR,1.2903986544e9,1.1907911e9,6.044414170749999e8,5.53039393787e8,1.2405948772e9
2019,CAN,USA,1.41112774052301e11,1.3767240388651e11,6.6099266939494e10,6.6340508411e10,1.3939258896940552e11
2019,COG,ITA,1.607960786e8,1.23648e8,5.3581860181e7,6.2889390346e7,1.422220393e8
2019,COG,GBR,285.0,0.0,99.559,0.0,285.0
2019,CAN,FRA,23283.329,0.0,10906.249,0.0,23283.329
2019,CAN,DEU,9.1771606536e7,0.0,4.2987149524e7,0.0,9.1771606536e7
2019,CAN,IRL,8.383771597e7,0.0,3.9270800285e7,0.0,8.383771597e7
2019,CAN,ITA,7.94873896179e8,7.04021e8,3.72330444211e8,3.42679356195e8,7.494474480895e8
2019,CAN,KOR,7.1580331114e7,1.574646199e8,3.3529263709e7,6.124041e7,1.14522475507e8
2019,CAN,NLD,1.266166576581e9,6.80530482e8,5.93090760899e8,3.09460769662e8,9.733485292905e8
2019,CAN,ESP,2.61633713311e8,0.0,1.22553020254e8,0.0,2.61633713311e8
2019,COG,CAN,9.36669e6,0.0,4.763329361e6,0.0,9.36669e6
2019,COG,IDN,5.79633e7,0.0,2.8222474168e7,0.0,5.79633e7
2019,COG,ISR,1.1303421e8,0.0,6.4202277003e7,0.0,1.1303421e8
2019,COG,MYS,1.11521e8,2.45188e8,5.4752898274e7,1.31705043902e8,1.783545e8
